user	clicked_news	candidate_news	clicked
251	N59009 N36114 N12244 N33260 N17032 N8912 N74730 N70382 N1568 N65378 N39617 N60637 N15635 N60637 N50897 N23903 N14010 N93 N53546 N48952 N11191 N43364 N27179 N48483	N49696 N47533 N7450 N6739 N67729	1 0 0 0 0
981	N40213 N17032 N17032 N40213 N2483 N2483 N12244 N8912 N46094 N6128 N1568 N60637 N2483 N41822 N45031 N60637 N39617 N14010 N31600 N10985 N47424 N23903 N51623 N27179 N22793 N25498 N57912 N72287 N23698 N63422 N14355 N62640 N62640 N66297 N46844 N52541	N49696 N59910 N65394 N21680 N71682	1 0 0 0 0
628	N23580 N48414 N30558 N7495 N33260 N51788 N2483 N61561 N60637 N23903 N65378 N65922 N14010 N60637 N71607 N39617 N25676 N53937 N43364 N11191 N22793 N27179 N73634 N70398 N44482 N46844 N50830 N50260 N62528 N36044 N59971	N65126 N16561 N3436 N16636 N68446	1 0 0 0 0
840	N8594 N51788 N23580 N51788 N46356 N39617 N60637 N45031 N15635 N51623 N65922 N22793 N43364 N11191 N48952 N50417 N29470 N23698 N50417 N70398 N36044 N65126	N73634 N58674 N4920 N25623 N74310	1 0 0 0 0
1113	N51788 N46356 N48414 N14010 N19507 N7947 N57912 N59971 N48483 N44482	N54008 N61766 N65208 N47600 N43401	1 0 0 0 0
760	N34206 N52965 N37652 N2483 N70930 N60637 N23903 N65922 N6128 N22793 N43002 N51552 N23698 N20015 N1348	N20225 N6729 N12480 N3006 N59431	1 0 0 0 0
1533	N23580 N73001 N66877 N33260 N52965 N70930 N65378 N39617 N93 N93 N11191 N43364 N27179 N63422 N50417 N30966 N42119 N70398 N33422 N45370 N73634 N57912 N73634 N73634 N44482 N48483	N62528 N18443 N16524 N51567 N68552	1 0 0 0 0
1623	N13807 N52965 N33260 N59009 N7495 N41435 N12244 N51788 N17032 N2483 N48172 N31776 N65378 N65378 N60637 N39617 N23903 N65378 N31600 N31600 N14010 N15635 N880 N11191 N43364 N72657 N43364 N27179 N22793 N65849 N63422 N57912 N42119 N70398 N73634 N44482 N44482 N57859 N149 N72287 N50260 N44482	N36044 N22541 N26085 N1785 N52777	1 0 0 0 0
87	N51788 N51788 N33694 N33694 N46622 N45827 N46622 N46622 N14010 N43364 N27179 N43364 N63422 N50417 N93 N30966 N50417 N70398 N39617 N70398 N33422 N54008 N48933 N73634 N44418 N12270 N46094 N44418 N1014 N9233 N71544 N67025 N30558 N67025 N73001 N67025 N71544 N9233 N1014 N50260 N72718 N1348 N20015 N50830 N20015	N36044 N62527 N31286 N17679 N28302	1 0 0 0 0
1314	N46356 N7495 N30024 N46094 N55290 N17032 N60637 N31600 N65922 N6128 N43999 N31776 N3805 N48172 N50897 N67286 N27179 N27786 N43002 N14355 N73634 N66297	N62528 N49323 N40345 N51788 N43324	1 0 0 0 0
493	N51788 N51788 N70930 N33260 N60637 N23903 N70382 N14010 N22793 N57912 N11191 N63422 N33422 N50417 N50417 N50417 N44482	N65126 N57504 N51144 N60280 N14413	1 0 0 0 0
760	N34206 N52965 N37652 N2483 N70930 N60637 N23903 N65922 N6128 N22793 N43002 N51552 N23698 N20015 N1348	N49696 N62682 N69573 N51126 N65394	1 0 0 0 0
